Position,Player Name,Team Name,Rating,Career Best Rating
 77 (0) ,Moeen Ali,ENG,432,"629 v Australia, 24/06/2018"
 78 (0) ,Assad Vala,PNG,426,"426 v United States, 25/11/2022"
 79 (0) ,M. Prasidh Krishna,IND,419,"481 v West Indies, 11/02/2022"
 80 (0) ,J.J. Smit,NAM,418,"418 v Nepal, 07/12/2022"
 81 (0) ,Tendai Chatara,ZIM,417,"562 v Ireland, 07/03/2015"
 82 (0) ,Steven Taylor,USA,416,"424 v Papua New Guinea, 25/11/2022"
 83 (0) ,Ashton Agar,AUS,416,"456 v Sri Lanka, 14/06/2022"
 84 (0) ,Mohammad Mohammad Saifuddin,BAN,415,"496 v West Indies, 25/01/2021"
 85 (0) ,Richard Ngarava,ZIM,413,"413 v Australia, 03/09/2022"
 86 (1) This player has moved up in the rankings since the previous rankings update ,Ruben Trumpelmann,NAM,409,"420 v Scotland, 05/12/2022"
 87 (1) This player has moved up in the rankings since the previous rankings update ,Christopher Sole,SCO,409,"409 v Nepal, 08/12/2022"
 88 (1) This player has moved up in the rankings since the previous rankings update ,Michael Leask,SCO,409,"432 v United States, 17/08/2022"
 89 (3) This player has moved down in the rankings since the previous rankings update ,Nuwan Pradeep,SL,407,"506 v England, 13/10/2018"
 90 (1) This player has moved up in the rankings since the previous rankings update ,Wayne Parnell,SA,405,"550 v West Indies, 28/01/2015"
 91 (1) This player has moved up in the rankings since the previous rankings update ,Wahab Riaz,PAK,403,"522 v England, 13/11/2015"
 92 (1) This player has moved up in the rankings since the previous rankings update ,Saqib Mahmood,ENG,402,"454 v Pakistan, 13/07/2021"
 93 (2) This player has moved up in the rankings since the previous rankings update ,Fazalhaq Farooqi,AFG,400,"421 v Sri Lanka, 25/11/2022"
 94 (2) This player has moved up in the rankings since the previous rankings update ,Faheem Ashraf,PAK,400,"477 v South Africa, 02/04/2021"
 95 (2) This player has moved up in the rankings since the previous rankings update ,Khawar Ali,OMA,398,"401 v Nepal, 09/06/2022"
 96 (2) This player has moved up in the rankings since the previous rankings update ,Sean Abbott,AUS,397,"398 v New Zealand, 11/09/2022"
 97 (2) This player has moved up in the rankings since the previous rankings update ,Mitchell Marsh,AUS,396,"511 v New Zealand, 04/12/2016"
 98 (2) This player has moved up in the rankings since the previous rankings update ,Jan Frylinck,NAM,395,"442 v Papua New Guinea, 20/09/2022"
 99 This player has moved up in the rankings since the previous rankings update ,Logan van Beek,NED,394,"394 v Pakistan, 21/08/2022"
 100 (10) This player has moved down in the rankings since the previous rankings update ,Akshar Patel,IND,392,"663 v Australia, 01/10/2017"
