Position,Player Name,Team Name,Rating,Career Best Rating
 85 (0) ,Aaron Johnson,CAN,397,"397 v Oman, 21/11/2022"
 86 (0) ,Liam Livingstone,ENG,396,"546 v Pakistan, 18/07/2021"
 87 (0) ,Rishabh Pant,IND,394,"469 v West Indies, 06/08/2022"
 88 (7) This player has moved up in the rankings since the previous rankings update ,Craig Ervine,ZIM,394,"424 v Namibia, 17/05/2022"
 89 (1) This player has moved down in the rankings since the previous rankings update ,Colin Ackermann,NED,393,"393 v South Africa, 06/11/2022"
 90 (1) This player has moved down in the rankings since the previous rankings update ,Sese Bau,PNG,393,"427 v Uganda, 12/07/2022"
 91 (1) This player has moved down in the rankings since the previous rankings update ,Usman Ghani,AFG,393,"426 v Oman, 29/11/2015"
 92 (1) This player has moved down in the rankings since the previous rankings update ,Stephan Baard,NAM,389,"440 v Uganda, 08/04/2022"
 93 (1) This player has moved down in the rankings since the previous rankings update ,Chirag Suri,UAE,389,"466 v Germany, 19/02/2022"
 94 (4) This player has moved up in the rankings since the previous rankings update ,Ryan Burl,ZIM,387,"407 v Ireland, 01/09/2021"
 95 (2) This player has moved down in the rankings since the previous rankings update ,Vriitya Aravind,UAE,386,"423 v Singapore, 22/08/2022"
 96 (2) This player has moved down in the rankings since the previous rankings update ,Dhananjaya de Silva,SL,384,"401 v Afghanistan, 01/11/2022"
 97 (3) This player has moved up in the rankings since the previous rankings update ,Harry Tector,IRE,383,"416 v Afghanistan, 09/08/2022"
 98 (2) This player has moved down in the rankings since the previous rankings update ,Muhammad Usman,UAE,375,"490 v Canada, 27/10/2019"
 99 (2) This player has moved down in the rankings since the previous rankings update ,Shimron Hetmyer,WI,374,"481 v Australia, 06/11/2021"
 100 (1) This player has moved down in the rankings since the previous rankings update ,Norman Vanua,PNG,371,"422 v Singapore, 03/07/2022"
